Reference file name,Perturbation file name,IoU
01001_wk00_1.jpg,01001_wk00_1_elastic_i4_aug.png,0.9987739944259514
01001_wk00_2.jpg,01001_wk00_2_elastic_i4_aug.png,1.0
01001_wk04_2.jpg,01001_wk04_2_elastic_i4_aug.png,0.9644243047692242
01001_wk12_1.jpg,01001_wk12_1_elastic_i4_aug.png,0.9788376129765967
01001_wk12_2.jpg,01001_wk12_2_elastic_i4_aug.png,0.997024509857823
01001_wk16.jpg,01001_wk16_elastic_i4_aug.png,1.0
01003_wk12.jpg,01003_wk12_elastic_i4_aug.png,0.9969006761920629
01003_wk16.jpg,01003_wk16_2_elastic_i4_aug.png,0.6113434226902552
01003_wk16_2.jpg,01003_wk16_elastic_i4_aug.png,0.6122879501707765
01005_wk00.jpg,01005_wk00_2_elastic_i4_aug.png,0.6087279271960755
01005_wk00_2.jpg,01005_wk00_elastic_i4_aug.png,0.6077099547257352
01005_wk12.jpg,01005_wk12_2_elastic_i4_aug.png,0.25972917947411356
01005_wk12_2.jpg,01005_wk12_elastic_i4_aug.png,0.6288973922902494
01005_wk16.jpg,01005_wk16_1_elastic_i4_aug.png,0.7981729360527618
01005_wk16_1.jpg,01005_wk16_elastic_i4_aug.png,0.823068604436473
01011_wk04.jpg,01011_wk04_2_elastic_i4_aug.png,0.8182255314086294
01011_wk04_2.jpg,01011_wk04_elastic_i4_aug.png,0.8183011733172811
01011_wk12.jpg,01011_wk12_2_elastic_i4_aug.png,0.7593145901990547
01011_wk12_2.jpg,01011_wk12_elastic_i4_aug.png,0.7589092032414305
01013_wk00.jpg,01013_wk00_2_elastic_i4_aug.png,0.6350606648871633
01013_wk00_2.jpg,01013_wk00_elastic_i4_aug.png,0.7154884882783911
01013_wk04.jpg,01013_wk04_2_elastic_i4_aug.png,0.6679518500214392
01013_wk04_2.jpg,01013_wk04_elastic_i4_aug.png,0.6698566326250448
01013_wk12.jpg,01013_wk12_elastic_i4_aug.png,1.0
01014_wk04.jpg,01014_wk04_elastic_i4_aug.png,0.9909974216311576
01014_wk12.jpg,01014_wk12_2_elastic_i4_aug.png,0.6297691075821138
01014_wk12_2.jpg,01014_wk12_elastic_i4_aug.png,0.6926552456767878
01014_wk16.jpg,01014_wk16_elastic_i4_aug.png,0.9965588437715073
01029_wk00.jpg,01029_wk00_elastic_i4_aug.png,0.9979032525418219
01029_wk04.jpg,01029_wk04_elastic_i4_aug.png,0.9966068964012372
01029_wk12.jpg,01029_wk12_1_elastic_i4_aug.png,0.200284578545698
01029_wk12_1.jpg,01029_wk12_elastic_i4_aug.png,0.17813141454541664
01029_wk16.jpg,01029_wk16_elastic_i4_aug.png,0.9947780678851175
01030_wk00.jpg,01030_wk00_elastic_i4_aug.png,0.9981400396365968
01030_wk04.jpg,01030_wk04_elastic_i4_aug.png,1.0
01030_wk12.jpg,01030_wk12_elastic_i4_aug.png,0.8816476871366138
01030_wk16.jpg,01030_wk16_elastic_i4_aug.png,0.972609526999679
01037_wk00.jpg,01037_wk00_elastic_i4_aug.png,0.9972757272566498
01037_wk04.jpg,01037_wk04_elastic_i4_aug.png,0.9982090683137115
01037_wk12.jpg,01037_wk12_elastic_i4_aug.png,0.9946518755013051
01037_wk16.jpg,01037_wk16_2_elastic_i4_aug.png,0.8577817531305904
01037_wk16_2.jpg,01037_wk16_3_elastic_i4_aug.png,0.4887582889996345
01037_wk16_3.jpg,01037_wk16_elastic_i4_aug.png,0.7175849240327472
01039_wk00.jpg,01039_wk00_2_elastic_i4_aug.png,0.6290750787039879
